post_id,user_id_hash,text,lang,timestamp_utc,city,platform,device,likes,shares,user_posts_last_24h,text_clean
p0136,u5919,Solo dirÃ©: 'hoy si entreno' #sad this is fine lol,es,2025-08-29 20:41:16,Lima,Instagram,Android,18,0,3,Solo dirÃ©: 'hoy si entreno' #triste this is fine lol
p0116,u6604,NaN,en,2025-08-15 12:17:16,La Paz,Instagram,iOS,0,0,30,NaN
p0132,u2929,"ğŸ”¥ğŸ”¥ obvio que sÃ­, cÃ³mo no  tudo bem?",mixed,2025-08-14 23:42:16,Quito,Instagram,Android,32,0,120,"fuego obvio que sÃ­, cÃ³mo no tudo bem?"
p0056,u8005,NaN,es,2025-08-15 05:42:16,San JosÃ©,Instagram,Web,0,0,3,NaN
p0096,u2596,"Nada mal el profe, pero jajaja claro ğŸ¤¡ #universidad #amigos @u3471 this is fine lol #CrAcK",es,2025-08-07 03:01:16,Ciudad de MÃ©xico,Twitter,Android,25,1,10,"Nada mal el profe, pero jajaja claro cara de payaso #universidad #amigos this is fine lol #grieta"
p0030,u6924,Hoy fue un dÃ­a motivado en la transporte ğŸ˜Š #gym tudo bem? loooool loooool loooool loooool,es,2025-08-25 18:24:16,BogotÃ¡,Twitter,Android,2,8,5,Hoy fue un dÃ­a motivado en la transporte cara sonriente con ojos sonrientes #gimnasia tudo bem? lol lol lol lol
p0159,u8353,Compra seguidores YA!!! ğŸ˜ğŸ˜ visita http://spam.example #happy #gym,es,2025-08-23 11:02:16,Quito,Twitter,Android,0,0,200,Compra seguidores YA!!! cara sonriente con gafas de sol visita #feliz #gimnasia
p0052,u8104,Hoy fue un dÃ­a feliz en la examen ğŸ˜¬ #finales #soledad #feliz @u9858,es,2025-08-09 02:47:16,AsunciÃ³n,Instagram,iOS,0,2,3,Hoy fue un dÃ­a feliz en la examen rostro #final #soledad #feliz
p0102,u4943,No puedo con la transporte!!! noooooğŸ˜¬ #music ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,mixed,2025-08-13 17:39:16,La Paz,Instagram,Android,0,2,1,No puedo con la transporte!!! no rostro #mÃºsica cara con lÃ¡grimas de alegrÃ­a
p0146,u1976,â¤ï¸ el excel se colgÃ³ otra vez #amigos this is fine lol tudo bem?,es,2025-08-16 09:46:16,Lima,Twitter,iOS,0,3,2,corazÃ³n rojo el excel se colgÃ³ otra vez #amigos this is fine lol tudo bem?
p0020,u5919,Hoy fue un dÃ­a tranqui en la clases ğŸ”¥  tudo bem?,mixed,2025-08-19 13:12:16,Montevideo,Instagram,Web,49,0,1,Hoy fue un dÃ­a tranqui en la clases fuego tudo bem?
p0086,u8005,Estoy on fire xq transporte ğŸ˜¡ https://bit.ly/3xYZ  this is fine lol,es,2025-08-11 02:45:16,BogotÃ¡,Instagram,Nokia-3310,6,0,1,Estoy on fire xq transporte cara de puchero this is fine lol
p0078,u7269,"Nada mal el profe, pero obvio que sÃ­, cÃ³mo no #love #feliz #trabajo @u7669 tudo bem?",es,2025-08-11 15:43:16,BogotÃ¡,Twitter,iOS,0,0,10,"Nada mal el profe, pero obvio que sÃ­, cÃ³mo no #amar #feliz #trabajo tudo bem?"
p0110,u4847,"ğŸ”¥ğŸ”¥ obvio que sÃ­, cÃ³mo no #soledad #virus @u2760",es,2025-08-06 08:09:16,Santiago,Twitter,Android,0,0,10,"fuego obvio que sÃ­, cÃ³mo no #soledad #virus"
p0145,u5077,Hoy fue un dÃ­a feliz en la finales ğŸ˜ #gym #study,es,2025-08-15 21:23:16,Quito,Instagram,iOS,2,0,2,Hoy fue un dÃ­a feliz en la finales cara sonriente con gafas de sol #gimnasia #estudiar
p0068,u9012,No puedo con la tesis!!! siiiiiiiiiğŸ˜¢ #music #meme @u4141,es,2025-08-13 16:15:16,Lima,Instagram,Android,1,2,5,No puedo con la tesis!!! si cara llorada #mÃºsica #meme
p0044,u5812,q tal si transporte? ğŸ˜¡ #study #soledad #feliz this is fine lol,es,2025-08-17 21:25:16,San JosÃ©,Instagram,Web,2,0,3,q tal si transporte? cara de puchero #estudiar #soledad #feliz this is fine lol
p0082,u6421,RT @u3541: 'maÃ±ana estudio' #finales #gym tudo bem?,es,2025-08-06 11:37:16,La Paz,Twitter,Android,3,0,1,RT : 'maÃ±ana estudio' #final #gimnasia tudo bem?
p0065,u1822,Estoy estresado xq universidad ğŸ¤¯ https://tiny.cc/b #study,es,2025-08-11 07:09:16,Montevideo,Twitter,Web,3,1,2,Estoy estresado xq universidad cabeza explosiva #estudiar
p0023,u9012,Me siento feliz pero voy al universidad ğŸ˜¡ #amigos #meme @u7669 this is fine lol,es,2025-08-26 10:28:16,Lima,Twitter,Android,0,0,3,Me siento feliz pero voy al universidad cara de puchero #amigos #meme this is fine lol
p0076,u8353,Hoy fue un dÃ­a quemado en la transporte âœ¨ #meme tudo bem?,mixed,2025-08-20 04:57:16,NaN,Instagram,iOS,0,14,1,Hoy fue un dÃ­a quemado en la transporte chispas #meme tudo bem?
p0019,u1812,No puedo con la parciales!!! ufffffffâ¤ï¸ #saludmental tudo bem?,es,2025-08-22 12:38:16,AsunciÃ³n,Instagram,Android,28,7,1,No puedo con la parciales!!! uf corazÃ³n rojo #saludo tudo bem?
p0013,u9858,ğŸ™ŒğŸ™Œ jajaja claro ğŸ¤¡  this is fine lol,es,2025-08-14 17:49:16,Santiago,TikTok,Web,0,9,3,levantando las manos jajaja claro cara de payaso this is fine lol
p0010,u5070,"RT @u7468: 'todo bien, todo mal' #saludmental #estres #meme this is fine lol",es,2025-08-07 22:40:16,Buenos Aires,Instagram,Web,0,3,3,"RT : 'todo bien, todo mal' #saludo #estres #meme this is fine lol"
p0032,u2028,"Solo dirÃ©: 'todo bien, todo mal'  @u4657",en,2025-08-03 21:34:16,BogotÃ¡,TikTok,Android,82,0,5,"Solo dirÃ©: 'todo bien, todo mal'"
